"nta_id","nta_name","state_fips","county_fips","county_name","borough_name","borough_id","puma_id","puma_name","neighborhood","complaint_n","ebird_checklists","ebird_pigeon_total"
"BX06","Belmont","36","005","Bronx","Bronx","2","3705","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",55,0,0
"BX07","Bronxdale","36","005","Bronx","Bronx","2","3704","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",65,0,0
"BX08","West Farms-Bronx River","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0
"BX09","Soundview-Castle Hill-Clason Point-Harding Park","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0
"BX10","Pelham Bay-Country Club-City Island","36","005","Bronx","Bronx","2","3703","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",77,0,0
"BX13","Co-op City","36","005","Bronx","Bronx","2","3703","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",77,0,0
"BX14","East Concourse-Concourse Village","36","005","Bronx","Bronx","2","3708","Bronx Community District 4--Concourse, Highbridge & Mount Eden","Bronx Community District 4--Concourse, Highbridge & Mount Eden",48,0,0
"BX17","East Tremont","36","005","Bronx","Bronx","2","3705","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",55,0,0
"BX22","North Riverdale-Fieldston-Riverdale","36","005","Bronx","Bronx","2","3701","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",65,5,27
"BX26","Highbridge","36","005","Bronx","Bronx","2","3708","Bronx Community District 4--Concourse, Highbridge & Mount Eden","Bronx Community District 4--Concourse, Highbridge & Mount Eden",48,0,0
"BX27","Hunts Point","36","005","Bronx","Bronx","2","3710","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",49,0,0
"BX28","Van Cortlandt Village","36","005","Bronx","Bronx","2","3701","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",65,5,27
"BX29","Spuyten Duyvil-Kingsbridge","36","005","Bronx","Bronx","2","3701","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",65,5,27
"BX30","Kingsbridge Heights","36","005","Bronx","Bronx","2","3706","Bronx Community District 7--Bedford Park, Fordham North & Norwood","Bronx Community District 7--Bedford Park, Fordham North & Norwood",56,0,0
