"nearest_stop_uid","nearest_stop_name","complaint_n"
261,"75 Av",7
270,"Northern Blvd",7
272,"Steinway St",7
294,"Van Cortlandt Park-242 St",7
298,"215 St",7
302,"181 St",7
305,"145 St",7
341,"Grand Army Plaza",7
345,"Kingston Av",7
423,"Burke Av",7
424,"Allerton Av",7
433,"Prospect Av",7
446,"Pelham Pkwy",7
466,"Vernon Blvd-Jackson Av",7
29,"4 Av-9 St",6
47,"Newkirk Plaza",6
81,"111 St",6
84,"85 St-Forest Pkwy",6
140,"Park Pl",6
166,"14 St",6
181,"Kingston-Throop Avs",6
203,"Beach 105 St",6
205,"Beach 67 St",6
212,"Bedford Park Blvd",6
213,"Kingsbridge Rd",6
226,"47-50 Sts-Rockefeller Ctr",6
236,"York St",6
239,"Smith-9 Sts",6
242,"15 St-Prospect Park",6
297,"Marble Hill-225 St",6
409,"Bleecker St",6
492,"Prince's Bay",6
9,"57 St-7 Av",5
26,"DeKalb Av",5
41,"7 Av",5
42,"Prospect Park",5
44,"Church Av",5
49,"Avenue J",5
61,"50 St",5
86,"Cypress Hills",5
100,"Hewes St",5
112,"Myrtle-Wyckoff Avs",5
123,"Grand St",5
188,"Shepherd Av",5
194,"104 St",5
206,"Beach 60 St",5
215,"182-183 Sts",5
219,"167 St",5
228,"34 St-Herald Sq",5
243,"Fort Hamilton Pkwy",5
248,"Bay Pkwy",5
287,"Broadway",5
340,"Bergen St",5
356,"Winthrop St",5
362,"Buhre Av",5
377,"Brook Av",5
378,"3 Av-138 St",5
381,"Bedford Park Blvd-Lehman College",5
388,"170 St",5
407,"14 St-Union Sq",5
420,"225 St",5
427,"E 180 St",5
438,"145 St",5
441,"116 St",5
443,"Eastchester-Dyre Av",5
456,"69 St",5
13,"28 St",4
14,"23 St",4
73,"New Utrecht Av",4
74,"18 Av",4
78,"Avenue U",4
82,"104 St",4
87,"Crescent St",4
90,"Van Siclen Av",4
93,"Chauncey St",4
95,"Gates Av",4
104,"Canal St",4
124,"Montrose Av",4
131,"Bushwick Av-Aberdeen St",4
155,"Cathedral Pkwy (110 St)",4
189,"Euclid Av",4
191,"80 St",4
202,"Beach 98 St",4
230,"14 St",4
333,"Fulton St",4
358,"Beverly Rd",4
359,"Newkirk Av-Little Haiti",4
376,"Cypress Av",4
383,"Fordham Rd",4
472,"34 St-Hudson Yards",4
495,"Tottenville",4
25,"Jay St-MetroTech",3
34,"53 St",3
45,"Beverley Rd",3
57,"W 8 St-NY Aquarium",3
62,"55 St",3
63,"62 St",3
64,"71 St",3
75,"20 Av",3
99,"Lorimer St",3
115,"8 Av",3
116,"6 Av",3
117,"14 St-Union Sq",3
130,"Wilson Av",3
137,"East 105 St",3
147,"168 St",3
149,"155 St",3
153,"125 St",3
180,"Nostrand Av",3
187,"Van Siclen Av",3
208,"Beach 36 St",3
222,"21 St-Queensbridge",3
225,"57 St",3
247,"Avenue I",3
252,"Avenue U",3
303,"168 St-Washington Hts",3
321,"23 St",3
325,"Houston St",3
327,"Franklin St",3
328,"Chambers St",3
334,"Wall St",3
343,"Franklin Av-Medgar Evers College",3
346,"Crown Hts-Utica Av",3
354,"President St-Medgar Evers College",3
357,"Church Av",3
371,"Whitlock Av",3
373,"Longwood Av",3
380,"Mosholu Pkwy",3
385,"Burnside Av",3
387,"Mt Eden Av",3
402,"51 St",3
403,"Grand Central-42 St",3
410,"Spring St",3
416,"Borough Hall",3
432,"Intervale Av",3
434,"Jackson Av",3
444,"Baychester Av",3
445,"Gun Hill Rd",3
16,"8 St-NYU",2
20,"City Hall",2
24,"Court St",2
105,"Chambers St",2
136,"New Lots Av",2
154,"116 St",2
200,"Broad Channel",2
207,"Beach 44 St",2
229,"23 St",2
231,"Broadway-Lafayette St",2
251,"Kings Hwy",2
267,"Elmhurst Av",2
273,"36 St",2
277,"5 Av/53 St",2
291,"Classon Av",2
293,"Fulton St",2
329,"WTC Cortlandt",2
344,"Nostrand Av",2
352,"Van Siclen Av",2
374,"E 149 St",2
379,"Woodlawn",2
389,"167 St",2
391,"149 St-Grand Concourse",2
413,"Fulton St",2
417,"Wakefield-241 St",2
418,"Nereid Av",2
470,"Times Sq-42 St",2
494,"Richmond Valley",2
10,"49 St",1
12,"34 St-Herald Sq",1
18,"Canal St",1
23,"Whitehall St-South Ferry",1
40,"Atlantic Av-Barclays Ctr",1
59,"9 Av",1
91,"Alabama Av",1
103,"Bowery",1
133,"Atlantic Av",1
134,"Sutter Av",1
139,"Franklin Av",1
148,"163 St-Amsterdam Av",1
152,"135 St",1
161,"59 St-Columbus Circle",1
175,"Jay St-MetroTech",1
176,"Hoyt-Schermerhorn Sts",1
177,"Lafayette Av",1
216,"Tremont Av",1
217,"174-175 Sts",1
221,"155 St",1
240,"4 Av-9 St",1
278,"7 Av",1
288,"Flushing Av",1
289,"Myrtle-Willoughby Avs",1
308,"116 St-Columbia University",1
317,"50 St",1
322,"18 St",1
330,"Rector St",1
336,"Borough Hall",1
349,"Rockaway Av",1
350,"Junius St",1
351,"Pennsylvania Av",1
375,"E 143 St-St Mary's St",1
390,"161 St-Yankee Stadium",1
415,"Bowling Green",1
431,"Simpson St",1
442,"110 St-Malcolm X Plaza",1
461,"33 St-Rawson St",1
462,"Queensboro Plaza",1
465,"Hunters Point Av",1
471,"Grand Central-42 St",1
